Started: 16.18	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	No Lift-Off pulses	Agilent N5768A	Result: No current
Started: 16.18	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	No Lift-Off pulses	Agilent N5768A	Result: No current
Started: 16.18	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	No Lift-Off pulses	Agilent N5768A	Result: No current
Started: 16.18	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	No Lift-Off pulses	Agilent N5768A	Result: No current
Started: 16.24	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	No Lift-Off pulses	Agilent N5768A	Result: No current
Started: 16.24	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	No Lift-Off pulses	Agilent N5768A	Result: No current
Started: 16.25	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 16.30	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 16.37	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: Aborted by user
Started: 16.37	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: Aborted by user
Started: 16.38	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No currentAborted by user
Started: 16.42	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 600 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No currentAborted by user
